instruction,response,history
Rappelle mon prenom et ma ville.,Tu t'appelles Sarah et ta ville est Toulouse.,"Utilisateur: Salut, je m'appelle Sarah. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Toulouse. ||| Assistant: Parfait, je retiens ta ville."
Tu peux me rappeler mon prenom ?,Ton prenom est Sarah.,"Utilisateur: Salut, je m'appelle Sarah. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Marseille. ||| Assistant: Parfait, je retiens ta ville."
Quel est mon sport prefere ?,Ton sport prefere est le tennis.,"Utilisateur: Bonjour, je m'appelle Rachid. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Lille. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le tennis. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 40 minutes le mercredi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Quel est mon sport prefere ?,Ton sport prefere est le velo.,"Utilisateur: Bonjour, je m'appelle Lea. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Nantes. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le velo. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 30 minutes le jeudi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
"Non, Votre Grâce! En toute humilité, non. Je préférerais que tu me vires. C'est évident que je ne suis pas satisfait.","Alors essaie plus fort, Mozart. Je n'ai pas l'intention de vous rejeter. Vous resterez à mon service et apprendrez votre place. Allez.",
"Contexte: je suis client pro. Hello, J'ai oublie mon mot de passe, comment le reinitialiser?","Utilisez 'Mot de passe oublie' puis suivez les instructions recues par email. Si vous voulez, je peux aussi vous donner une checklist concise.",
Tu peux me rappeler mon prenom ?,Ton prenom est Ines.,"Utilisateur: Salut, je m'appelle Ines. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Bordeaux. ||| Assistant: Parfait, je retiens ta ville."
Tu peux me rappeler mon prenom ?,Ton prenom est Yanis.,"Utilisateur: Salut, je m'appelle Yanis. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Toulouse. ||| Assistant: Parfait, je retiens ta ville."
Quel est mon sport prefere ?,Ton sport prefere est le foot.,"Utilisateur: Bonjour, je m'appelle Lea. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Paris. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le foot. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 60 minutes le vendredi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Rappelle mon objectif d'entrainement.,Ton objectif est de t'entrainer 30 minutes le lundi.,"Utilisateur: Bonjour, je m'appelle Lea. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Marseille. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le foot. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 30 minutes le lundi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
"Je vous remercie. Je suis heureux de vous rencontrer, M. Brown. Je m'appelle Kathy Pewless, représentante de Green Textile Import and Export Corporation.","Ravi de vous rencontrer, Mme Pewless. Je voyage beaucoup chaque année en affaires, mais c'est ma première visite dans votre pays. Je dois dire que j'ai été très impressionné par vos amis.",
Et ma ville ?,Ta ville est Nantes.,"Utilisateur: Salut, je m'appelle Nadia. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Nantes. ||| Assistant: Parfait, je retiens ta ville."
Quel est mon sport prefere ?,Ton sport prefere est le velo.,"Utilisateur: Bonjour, je m'appelle Amine. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Lille. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le velo. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 20 minutes le dimanche. ||| Assistant: Tres bien, je retiens ton objectif sportif."
"Vous devez me pardonner, mais dans ces circonstances... avec votre fille... Y avait-il des indices d'abus?","Il n'y avait rien de tel. La police et le FBI ont demandé, mais il n'y a rien eu de tel, jamais. Mon mari... son coeur s'est brisé quand Mary est partie...",
"Wichita, vous êtes tous du genre. Mais sérieusement, ne t'inquiète pas. J'ai parfois des écrasements.","Hey, ce n'est plus un béguin si] tu le dis réellement à la personne ] tu es supposé avoir le... ] ] JASPER ] Je pensais avoir des points pour une approche post- ] moderne pour venir à toi. ]",
Quel est mon sport prefere ?,Ton sport prefere est le velo.,"Utilisateur: Bonjour, je m'appelle Karim. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Paris. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le velo. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 20 minutes le samedi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
"CBS ne fait pas ça. Et, vous remettez en question notre intégrité journalistique?!","Non, je vous interroge! Vous entendez ""raisonnable"" et ""immixtion tortueuse"". J'ai entendu... ""Le procès potentiel Brown & Williamson compromet la vente de CBS à Westinghouse."" J'ai entendu... ""Frappe le segment vers le bas. Libérez Wigand. Obéissez aux ordres. Et fous le camp...!"" C'est ce que j'ai entendu.",
J'aimerais prendre rendez-vous avec le Dr Cooper. Tu peux m'arranger ça?,"Oui. Demain matin, ça ira?",
"Non, Cole, je...","Tout va bien, je vous pardonne. Je ne suis pas du genre vengeur. On oubliera ce qui s'est passé. Pourquoi ne pas faire un voyage ensemble? Peut-être tuer quelques lions au Kenya à Noël.",
Ne sois pas trop dure.,"Je l'ai vu dans un talk-show une fois, parler de ces tueurs comme s'ils étaient ses amis. Pas les victimes, pas les familles des victimes, il ne parle pas d'elles. L'argent du sang, c'est ça. Il t'a frappé?",
"Malheureusement, nous sommes ici en tant que gardiens de la paix et non en tant que artisans de la paix, nous ne pouvons pas jouer un rôle agressif.","Si l'ONU change votre mandat, pourriez-vous arrêter l'effusion de sang?",
"Tu es très en avant, n'est-ce pas?","Pardonnez-moi, j'essaie de me remonter le moral et une liaison avec une belle infirmière semblait être la seule chose à faire.",
Tu sais que je pensais que tu m'avais laissé là-bas.,De quoi tu parles?,
Et ma ville ?,Ta ville est Marseille.,"Utilisateur: Salut, je m'appelle Amine. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Marseille. ||| Assistant: Parfait, je retiens ta ville."
Fais un recapitulatif de ce que tu sais sur moi.,"Tu t'appelles Nadia, tu habites a Marseille, ton sport prefere est le natation, et tu veux t'entrainer 40 minutes le samedi.","Utilisateur: Bonjour, je m'appelle Nadia. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Marseille. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le natation. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 40 minutes le samedi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
"Avec leurs boucliers, ça pourrait être possible.","S'il te plaît, tu n'achètes pas ces bêtises, n'est-ce pas? Nous n'avons ni la main-d'œuvre ni les ressources pour lancer ce genre de campagne. Sans oublier que tout ce plan de cockamamie dépend d'une machine que personne dans le monde n'est qualifié pour opérer.",
Tu peux me rappeler mon prenom ?,Ton prenom est Ines.,"Utilisateur: Salut, je m'appelle Ines. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Paris. ||| Assistant: Parfait, je retiens ta ville."
Quel est mon sport prefere ?,Ton sport prefere est le natation.,"Utilisateur: Bonjour, je m'appelle Nadia. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Lille. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le natation. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 45 minutes le samedi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Et ma ville ?,Ta ville est Marseille.,"Utilisateur: Salut, je m'appelle Rachid. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Marseille. ||| Assistant: Parfait, je retiens ta ville."
Rappelle mon prenom et ma ville.,Tu t'appelles Amine et ta ville est Toulouse.,"Utilisateur: Salut, je m'appelle Amine. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Toulouse. ||| Assistant: Parfait, je retiens ta ville."
Tu peux me rappeler mon prenom ?,Ton prenom est Lea.,"Utilisateur: Salut, je m'appelle Lea. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Lyon. ||| Assistant: Parfait, je retiens ta ville."
Fais un recapitulatif de ce que tu sais sur moi.,"Tu t'appelles Amine, tu habites a Lyon, ton sport prefere est le basket, et tu veux t'entrainer 20 minutes le mardi.","Utilisateur: Bonjour, je m'appelle Amine. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Lyon. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le basket. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 20 minutes le mardi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
"Voilà, M. Richard. C'est la crème et c'est le sucre. Si vous voulez autre chose, n ' hésitez pas à me le dire.",Merci beaucoup.,
Tu peux me rappeler mon prenom ?,Ton prenom est Amine.,"Utilisateur: Salut, je m'appelle Amine. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Bordeaux. ||| Assistant: Parfait, je retiens ta ville."
Quel est mon sport prefere ?,Ton sport prefere est le natation.,"Utilisateur: Bonjour, je m'appelle Sofia. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Paris. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le natation. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 45 minutes le samedi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Dans quelle ville j'habite ?,Tu habites a Nantes.,"Utilisateur: Bonjour, je m'appelle Lea. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Nantes. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le velo. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 20 minutes le dimanche. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Et ma ville ?,Ta ville est Paris.,"Utilisateur: Salut, je m'appelle Yanis. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Paris. ||| Assistant: Parfait, je retiens ta ville."
"Mais inventer les faits est éthique? En fait, je voulais dire toi. Vous avez probablement des indemnités ou des frais, ou les deux. Je vais prendre votre chèque. Pas de carte de crédit.",Vous avez vu les post-its. J'ai déjà plus de matériel juteux que nécessaire. Pourquoi devrais-je te payer un dollar?,
"Ça ne vous dérange pas de voir ce genre de mort brutale? Je peux comprendre que le vieil homme en a marre de tout, mais pas toi.","Je suis banquier d'investissement. Je vois des bains de sang tous les jours. En outre, le mien ne doit pas se demander pourquoi, min est mais faire ou mourir.",
Comment je sais que tu dis la vérité?,Il dormait dans un T-shirt dernièrement? C'est pour ne pas voir les ongles sur son dos. Je parie que tu ne savais pas que ton petit ami trouvait une petite douleur excitante. Il n'a pas non plus... d'abord.,
Tu peux me rappeler mon prenom ?,Ton prenom est Ines.,"Utilisateur: Salut, je m'appelle Ines. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Nantes. ||| Assistant: Parfait, je retiens ta ville."
Et ma ville ?,Ta ville est Bordeaux.,"Utilisateur: Salut, je m'appelle Lea. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Bordeaux. ||| Assistant: Parfait, je retiens ta ville."
Dans quelle ville j'habite ?,Tu habites a Marseille.,"Utilisateur: Bonjour, je m'appelle Lea. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Marseille. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le natation. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 45 minutes le vendredi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Tu peux me rappeler mon prenom ?,Ton prenom est Sarah.,"Utilisateur: Salut, je m'appelle Sarah. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Bordeaux. ||| Assistant: Parfait, je retiens ta ville."
Tu peux me rappeler mon prenom ?,Ton prenom est Nadia.,"Utilisateur: Salut, je m'appelle Nadia. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Marseille. ||| Assistant: Parfait, je retiens ta ville."
Rappelle mon prenom et ma ville.,Tu t'appelles Mehdi et ta ville est Lyon.,"Utilisateur: Salut, je m'appelle Mehdi. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Lyon. ||| Assistant: Parfait, je retiens ta ville."
Et ma ville ?,Ta ville est Bordeaux.,"Utilisateur: Salut, je m'appelle Mehdi. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Bordeaux. ||| Assistant: Parfait, je retiens ta ville."
"Tout ce qu'on a à faire, c'est un mauvais temps et tu peux l'oublier.",Donc on la lâche et on attend. Un peu de temps ne pouvait pas être quelque chose qu'elle n'avait jamais vu.,
Tu n'es même plus là... Qu'est-ce que ça peut te faire?,"C'est Jeff! Réveille-toi! Tout le monde est en ligne ici. S'ils peuvent vous attraper dans un mensonge, ils peuvent tout peindre avec ce pinceau. Compris? Tout ce que tu dis!",
"Nous avons une équipe de trois cents hommes qui se retournent dans leurs propres quartiers, mais les tueurs peuvent être parmi eux. Ils ont dû se débarrasser de ces bottes. Ça n'aurait pas été logique de les laisser sur le vaisseau de Gorkon?","Même la logique doit céder la place à la physique. La gravité n'avait pas été restaurée au moment de leur fuite. Sans leurs bottes, ils ne seraient pas restés sur les coussinets de transport du Klingon.",
Tu peux me rappeler mon prenom ?,Ton prenom est Lea.,"Utilisateur: Salut, je m'appelle Lea. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Lyon. ||| Assistant: Parfait, je retiens ta ville."
Rappelle mon objectif d'entrainement.,Ton objectif est de t'entrainer 30 minutes le lundi.,"Utilisateur: Bonjour, je m'appelle Rachid. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Nantes. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le velo. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 30 minutes le lundi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Rappelle mon objectif d'entrainement.,Ton objectif est de t'entrainer 40 minutes le samedi.,"Utilisateur: Bonjour, je m'appelle Karim. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Paris. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le natation. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 40 minutes le samedi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Ouais... être une affaire de panier.,"Je sais que tu tiens à lui. Je ne t'ai jamais vu comme ça à propos de personne, alors s'il te plaît, ne te méprends pas quand je te dis que je crois que Tom, pendant qu'il est très gentil, est le Diable.",
Rappelle mon prenom et ma ville.,Tu t'appelles Sarah et ta ville est Toulouse.,"Utilisateur: Salut, je m'appelle Sarah. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Toulouse. ||| Assistant: Parfait, je retiens ta ville."
"C'est un petit poste et ils l'ont éliminé en deux ans, mais j'ai emménagé dans le grade et... un commandement est un commandement.",Otis a continué comme si tu étais le gars qui a gagné la guerre du Golfe. Colin Whatsit.,
Rappelle mon prenom et ma ville.,Tu t'appelles Amine et ta ville est Lille.,"Utilisateur: Salut, je m'appelle Amine. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Lille. ||| Assistant: Parfait, je retiens ta ville."
Fais un recapitulatif de ce que tu sais sur moi.,"Tu t'appelles Ines, tu habites a Nantes, ton sport prefere est le basket, et tu veux t'entrainer 20 minutes le samedi.","Utilisateur: Bonjour, je m'appelle Ines. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Nantes. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le basket. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 20 minutes le samedi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Tu peux me rappeler mon prenom ?,Ton prenom est Karim.,"Utilisateur: Salut, je m'appelle Karim. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Paris. ||| Assistant: Parfait, je retiens ta ville."
Et ma ville ?,Ta ville est Paris.,"Utilisateur: Salut, je m'appelle Rachid. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Paris. ||| Assistant: Parfait, je retiens ta ville."
Je vise.,"Dites aux gens comment c'est, Tom. Dis-leur qu'ils nous regardent et se poignardent dans le dos. Aussi sûr que Dieu ait fait des petites pommes, ça revient à deux un demi-jus dès qu'ils nous ont dégagés.",
"Ne le prenez pas mal, mais ne pensez-vous pas être hors de votre ligue ici?","Non, tu vois -- c'est exactement ce que ces enfoirés arrogants veulent que je pense -- que parce qu'ils ont tout cet argent et ce pouvoir, nous n'avons aucune chance contre eux. Mais tu sais quoi? Ils se trompent.",
"Comme pour nos propres vies, les seules personnes qu'il ne peut pas jeter sont sa famille. Sinon, il a l'approbation finale, capable d'élever un extra dans un rôle de leader comme c'était le cas avec son seul vrai ami, Marlon, ou alternativement reléguer une étoile à un petit joueur.","Istanbul, Turquie, vous êtes avec le maître vidéographe, Christof.",
Dans quelle ville j'habite ?,Tu habites a Marseille.,"Utilisateur: Bonjour, je m'appelle Karim. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Marseille. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le foot. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 40 minutes le dimanche. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Rappelle mon objectif d'entrainement.,Ton objectif est de t'entrainer 45 minutes le jeudi.,"Utilisateur: Bonjour, je m'appelle Yanis. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Nantes. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le basket. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 45 minutes le jeudi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Et ma ville ?,Ta ville est Bordeaux.,"Utilisateur: Salut, je m'appelle Yanis. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Bordeaux. ||| Assistant: Parfait, je retiens ta ville."
Rappelle mon objectif d'entrainement.,Ton objectif est de t'entrainer 45 minutes le dimanche.,"Utilisateur: Bonjour, je m'appelle Lea. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Lyon. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le foot. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 45 minutes le dimanche. ||| Assistant: Tres bien, je retiens ton objectif sportif."
"Du calme, Daniel Boone! Vous ne voulez pas manquer... Ils pensent que leurs médicaments sont plus forts que les vôtres...","Oui... C'est ça que j'ai dit à Joe Powers... C'est un peu sales, hein, Ethan?",
Rappelle mon objectif d'entrainement.,Ton objectif est de t'entrainer 45 minutes le samedi.,"Utilisateur: Bonjour, je m'appelle Yanis. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Lyon. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le foot. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 45 minutes le samedi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Rappelle mon prenom et ma ville.,Tu t'appelles Ines et ta ville est Lyon.,"Utilisateur: Salut, je m'appelle Ines. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Lyon. ||| Assistant: Parfait, je retiens ta ville."
Fais un recapitulatif de ce que tu sais sur moi.,"Tu t'appelles Nadia, tu habites a Lyon, ton sport prefere est le velo, et tu veux t'entrainer 30 minutes le samedi.","Utilisateur: Bonjour, je m'appelle Nadia. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Lyon. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le velo. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 30 minutes le samedi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Quel est mon prenom ?,Ton prenom est Karim.,"Utilisateur: Bonjour, je m'appelle Karim. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Toulouse. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le running. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 20 minutes le mercredi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Quel est mon prenom ?,Ton prenom est Lea.,"Utilisateur: Bonjour, je m'appelle Lea. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Paris. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le velo. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 60 minutes le lundi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Rappelle mon prenom et ma ville.,Tu t'appelles Lea et ta ville est Toulouse.,"Utilisateur: Salut, je m'appelle Lea. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Toulouse. ||| Assistant: Parfait, je retiens ta ville."
Et ma ville ?,Ta ville est Lyon.,"Utilisateur: Salut, je m'appelle Sarah. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Lyon. ||| Assistant: Parfait, je retiens ta ville."
Tu m'as commandé un pastrami après?,"Griffe Cole, thé glacé?",
Ton cul! Tu aurais pu avoir le travail de nourriture et de boisson sans aller à la télévision! Tu voulais passer à la télé.,"Oui, je voulais passer à la télé. Comme ça, j'ai un forum. Je peux me battre. Je sais. Les gens me voient. Ils savent qu'ils ne peuvent pas me baiser comme si j'étais un inconnu. C'est vrai.",
C'est priorite urgente pour moi. Comment recuperer mon argent pour la commande ORD-451287?,"D'accord, on va regler ca ensemble. Le remboursement arrive en general sur le moyen de paiement initial sous 5 a 10 jours ouvres.",
J'ai deja essaye les solutions de base. Je cherche un casque sans fil pour appels et musique.,"Bien sur, je peux vous aider. Je peux proposer 3 options par gamme de prix si vous me donnez le budget precis. Je reste avec vous jusqu'a resolution complete.",
Tu peux me rappeler mon prenom ?,Ton prenom est Yanis.,"Utilisateur: Salut, je m'appelle Yanis. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Toulouse. ||| Assistant: Parfait, je retiens ta ville."
Dans quelle ville j'habite ?,Tu habites a Marseille.,"Utilisateur: Bonjour, je m'appelle Sofia. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Marseille. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le velo. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 60 minutes le dimanche. ||| Assistant: Tres bien, je retiens ton objectif sportif."
"Contexte: je suis nouveau client. Coucou, Comment recuperer mon compte sans telephone?",Utilisez 'Mot de passe oublie' puis suivez les instructions recues par email.,
Tu peux me rappeler mon prenom ?,Ton prenom est Mehdi.,"Utilisateur: Salut, je m'appelle Mehdi. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Nantes. ||| Assistant: Parfait, je retiens ta ville."
"Bien sûr. Tu veux m'accuser de ton permis, c'est ça?","Nicky, quand tu m'as demandé si tu pouvais venir ici, qu'est-ce que je t'ai dit? Je veux dire, tu m'as demandé, et je savais que tu allais sortir peu importe ce que j'ai dit, mais qu'est-ce que je t'ai dit? Tu te souviens de ce que j'ai dit...",
Quel est mon sport prefere ?,Ton sport prefere est le natation.,"Utilisateur: Bonjour, je m'appelle Yanis. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Paris. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le natation. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 30 minutes le samedi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
"Je vais déposer une carte postale à maman. Je veux dire, je ne veux pas qu'elle s'inquiète plus.","Que voulez-vous dire par nécessaire? Elle a déjà appelé les flics, mon agent de probation, son copain Johnnie Farragut.",
Comment le savez-vous? Peut-être.,Parce qu'ils divorcent. C'est pour ça qu'ils m'ont envoyé ici. Ma sœur est à Tabor. Ils voulaient juste qu'on sorte de la maison pour qu'ils puissent faire affaire.,
Fais un recapitulatif de ce que tu sais sur moi.,"Tu t'appelles Ines, tu habites a Lyon, ton sport prefere est le natation, et tu veux t'entrainer 30 minutes le dimanche.","Utilisateur: Bonjour, je m'appelle Ines. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Lyon. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le natation. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 30 minutes le dimanche. ||| Assistant: Tres bien, je retiens ton objectif sportif."
"Merde, A, d'abord survivre, oui?","Oui, oui. Mais d'ya pense qu'ils vont frapper la rançon pour ce petit connard, en supposant qu'on arrive à le faire.",
Tu peux me rappeler mon prenom ?,Ton prenom est Sofia.,"Utilisateur: Salut, je m'appelle Sofia. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Toulouse. ||| Assistant: Parfait, je retiens ta ville."
Tu peux me rappeler mon prenom ?,Ton prenom est Ines.,"Utilisateur: Salut, je m'appelle Ines. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Lille. ||| Assistant: Parfait, je retiens ta ville."
Tu peux me rappeler mon prenom ?,Ton prenom est Amine.,"Utilisateur: Salut, je m'appelle Amine. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Bordeaux. ||| Assistant: Parfait, je retiens ta ville."
Personne.,"Alors, pourquoi perdons-nous notre temps? Le cœur de ce type doit être à peu près de la taille d'un jambon en conserve. Si ce n'est pas un coronaire, je ne sais pas ce qui est.",
J'ai été tenté. Mais je pense qu'il est important de garder l'objectivité. Je ne voudrais pas être rattrapé émotionnellement.,"La Haye pour Christof... La Haye?...les perd. Hollywood, Californie, tu es sur ""Tru Talk.",
